Year,Week,Date,Entity,M,F
2021,6,2021-02-07,Aguascalientes,0,0
2021,7,2021-02-14,Aguascalientes,0,0
2021,8,2021-02-21,Aguascalientes,0,1
2021,9,2021-02-28,Aguascalientes,0,0
2021,10,2021-03-07,Aguascalientes,0,0
2021,11,2021-03-14,Aguascalientes,0,0
2021,12,2021-03-21,Aguascalientes,0,0
2021,13,2021-03-28,Aguascalientes,1,1
2021,14,2021-04-04,Aguascalientes,0,0
2021,15,2021-04-11,Aguascalientes,0,0
2021,16,2021-04-18,Aguascalientes,0,0
2021,17,2021-04-25,Aguascalientes,0,0
2021,18,2021-05-02,Aguascalientes,0,0
2021,19,2021-05-09,Aguascalientes,1,0
2021,20,2021-05-16,Aguascalientes,0,0
2021,21,2021-05-23,Aguascalientes,0,0
2021,22,2021-05-30,Aguascalientes,0,0
2021,23,2021-06-06,Aguascalientes,0,0
2021,24,2021-06-13,Aguascalientes,0,0
2021,25,2021-06-20,Aguascalientes,0,0
2021,26,2021-06-27,Aguascalientes,0,1
2021,27,2021-07-04,Aguascalientes,0,1
2021,28,2021-07-11,Aguascalientes,0,0
2021,29,2021-07-18,Aguascalientes,0,1
2021,30,2021-07-25,Aguascalientes,0,1
2021,31,2021-08-01,Aguascalientes,0,1
2021,32,2021-08-08,Aguascalientes,0,0
2021,33,2021-08-15,Aguascalientes,0,0
2021,34,2021-08-22,Aguascalientes,0,0
2021,35,2021-08-29,Aguascalientes,0,0
2021,36,2021-09-05,Aguascalientes,0,1
2021,37,2021-09-12,Aguascalientes,0,0
2021,38,2021-09-19,Aguascalientes,0,0
2021,39,2021-09-26,Aguascalientes,0,1
2021,40,2021-10-03,Aguascalientes,1,0
2021,41,2021-10-10,Aguascalientes,0,0
2021,42,2021-10-17,Aguascalientes,0,0
2021,43,2021-10-24,Aguascalientes,0,0
2021,44,2021-10-31,Aguascalientes,0,0
2021,45,2021-11-07,Aguascalientes,1,0
2021,46,2021-11-14,Aguascalientes,0,1
2021,47,2021-11-21,Aguascalientes,0,0
2021,48,2021-11-28,Aguascalientes,0,0
2021,49,2021-12-05,Aguascalientes,0,0
2021,50,2021-12-12,Aguascalientes,0,0
2021,51,2021-12-19,Aguascalientes,0,0
2021,52,2021-12-26,Aguascalientes,0,0
2022,1,2022-01-02,Aguascalientes,0,0
2022,2,2022-01-09,Aguascalientes,0,0
2022,3,2022-01-16,Aguascalientes,0,0
2022,4,2022-01-23,Aguascalientes,0,1
2022,5,2022-01-30,Aguascalientes,0,0
2022,6,2022-02-06,Aguascalientes,0,0
2022,7,2022-02-13,Aguascalientes,0,1
2022,8,2022-02-20,Aguascalientes,0,0
2022,9,2022-02-27,Aguascalientes,0,0
2022,10,2022-03-06,Aguascalientes,0,0
2022,11,2022-03-13,Aguascalientes,0,0
2022,12,2022-03-20,Aguascalientes,0,1
2022,13,2022-03-27,Aguascalientes,0,0
2022,14,2022-04-03,Aguascalientes,1,0
2022,15,2022-04-10,Aguascalientes,0,0
2022,16,2022-04-17,Aguascalientes,0,0
2022,17,2022-04-24,Aguascalientes,0,0
2022,18,2022-05-01,Aguascalientes,0,0
2022,19,2022-05-08,Aguascalientes,0,0
2022,20,2022-05-15,Aguascalientes,0,1
2022,21,2022-05-22,Aguascalientes,0,0
2022,22,2022-05-29,Aguascalientes,0,0
2022,23,2022-06-05,Aguascalientes,0,0
2022,24,2022-06-12,Aguascalientes,1,0
2022,25,2022-06-19,Aguascalientes,0,1
2022,26,2022-06-26,Aguascalientes,0,0
2022,27,2022-07-03,Aguascalientes,0,1
2022,28,2022-07-10,Aguascalientes,0,0
2022,29,2022-07-17,Aguascalientes,0,1
2022,30,2022-07-24,Aguascalientes,0,0
2022,31,2022-07-31,Aguascalientes,1,0
2022,32,2022-08-07,Aguascalientes,0,0
2022,33,2022-08-14,Aguascalientes,0,1
2022,34,2022-08-21,Aguascalientes,0,0
2022,35,2022-08-28,Aguascalientes,0,0
2022,36,2022-09-04,Aguascalientes,1,0
2022,37,2022-09-11,Aguascalientes,0,0
2022,38,2022-09-18,Aguascalientes,0,0
2022,39,2022-09-25,Aguascalientes,0,0
2022,40,2022-10-02,Aguascalientes,0,1
2022,41,2022-10-09,Aguascalientes,0,1
2022,42,2022-10-16,Aguascalientes,0,0
2022,43,2022-10-23,Aguascalientes,0,2
2022,44,2022-10-30,Aguascalientes,0,0
2022,45,2022-11-06,Aguascalientes,0,0
2022,46,2022-11-13,Aguascalientes,0,0
2022,47,2022-11-20,Aguascalientes,0,0
2022,48,2022-11-27,Aguascalientes,0,1
2022,49,2022-12-04,Aguascalientes,0,0
2022,50,2022-12-11,Aguascalientes,0,0
2022,51,2022-12-18,Aguascalientes,0,1
2022,52,2022-12-25,Aguascalientes,0,0
2023,1,2023-01-01,Aguascalientes,0,0
2023,2,2023-01-08,Aguascalientes,0,0
2023,3,2023-01-15,Aguascalientes,0,1
2023,4,2023-01-22,Aguascalientes,0,0
2023,5,2023-01-29,Aguascalientes,0,1
2023,6,2023-02-05,Aguascalientes,0,1
2023,7,2023-02-12,Aguascalientes,0,1
2023,8,2023-02-19,Aguascalientes,0,0
2023,9,2023-02-26,Aguascalientes,0,0
2023,10,2023-03-05,Aguascalientes,0,0
2023,11,2023-03-12,Aguascalientes,0,1
2023,12,2023-03-19,Aguascalientes,0,1
2023,13,2023-03-26,Aguascalientes,0,0
2023,14,2023-04-02,Aguascalientes,1,1
2023,15,2023-04-09,Aguascalientes,0,0
2023,16,2023-04-16,Aguascalientes,0,1
2023,17,2023-04-23,Aguascalientes,0,1
2023,18,2023-04-30,Aguascalientes,0,0
2023,19,2023-05-07,Aguascalientes,0,0
2023,20,2023-05-14,Aguascalientes,0,0
2023,21,2023-05-21,Aguascalientes,0,0
2023,22,2023-05-28,Aguascalientes,0,1
2023,23,2023-06-04,Aguascalientes,0,1
2023,24,2023-06-11,Aguascalientes,0,2
2023,25,2023-06-18,Aguascalientes,1,0
2023,26,2023-06-25,Aguascalientes,0,0
2023,27,2023-07-02,Aguascalientes,0,0
2023,28,2023-07-09,Aguascalientes,0,0
2023,29,2023-07-16,Aguascalientes,0,1
2023,30,2023-07-23,Aguascalientes,0,1
2023,31,2023-07-30,Aguascalientes,0,0
2023,32,2023-08-06,Aguascalientes,0,0
2023,33,2023-08-13,Aguascalientes,0,0
2023,34,2023-08-20,Aguascalientes,0,0
2023,35,2023-08-27,Aguascalientes,0,0
2023,36,2023-09-03,Aguascalientes,0,0
2023,37,2023-09-10,Aguascalientes,0,0
2023,38,2023-09-17,Aguascalientes,1,0
2023,39,2023-09-24,Aguascalientes,2,0
2023,40,2023-10-01,Aguascalientes,0,1
2023,41,2023-10-08,Aguascalientes,0,1
2023,42,2023-10-15,Aguascalientes,0,0
2023,43,2023-10-22,Aguascalientes,0,0
2023,44,2023-10-29,Aguascalientes,0,0
2023,45,2023-11-05,Aguascalientes,0,1
2023,46,2023-11-12,Aguascalientes,0,0
2023,47,2023-11-19,Aguascalientes,0,0
2023,48,2023-11-26,Aguascalientes,0,0
2023,49,2023-12-03,Aguascalientes,1,1
2023,50,2023-12-10,Aguascalientes,0,0
2023,51,2023-12-17,Aguascalientes,0,0
2023,52,2023-12-24,Aguascalientes,1,2
2024,1,2024-01-07,Aguascalientes,1,0
2024,2,2024-01-14,Aguascalientes,0,1
2024,3,2024-01-21,Aguascalientes,0,0
2024,4,2024-01-28,Aguascalientes,0,0
2024,5,2024-02-04,Aguascalientes,1,0
2024,6,2024-02-11,Aguascalientes,0,1
2024,7,2024-02-18,Aguascalientes,0,1
2024,8,2024-02-25,Aguascalientes,0,0
2024,9,2024-03-03,Aguascalientes,0,0
2024,11,2024-03-17,Aguascalientes,1,1
2024,12,2024-03-24,Aguascalientes,0,0
2024,13,2024-03-31,Aguascalientes,0,0
2024,14,2024-04-07,Aguascalientes,0,0
2024,15,2024-04-14,Aguascalientes,0,0
2024,16,2024-04-21,Aguascalientes,0,0
2024,17,2024-04-28,Aguascalientes,1,1
2024,18,2024-05-05,Aguascalientes,0,0
2024,19,2024-05-12,Aguascalientes,0,0
2024,20,2024-05-19,Aguascalientes,0,1
2024,21,2024-05-26,Aguascalientes,0,1
2024,22,2024-06-02,Aguascalientes,0,1
2024,23,2024-06-09,Aguascalientes,0,0
2024,24,2024-06-16,Aguascalientes,1,0
2024,25,2024-06-23,Aguascalientes,1,0
2024,26,2024-06-30,Aguascalientes,0,0
2024,27,2024-07-07,Aguascalientes,0,0
